city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"Lake City - Sector M-7, Lake City",22500000,4,5,1125.0,225.0,5.0,20000.0,4,50L â€“ 2.5 Cr
Lahore,"DHA Phase 7, DHA Defence",64900000,5,6,4500.0,649.0,20.0,14422.222222222223,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6, DHA Defence",72900000,5,6,4500.0,729.0,20.0,16200.0,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Iqbal Block, Bahria Town - Sector E",6700000,1,1,540.0,67.0,2.4,12407.407407407407,1,50L â€“ 2.5 Cr
Lahore,"Bankers Housing Society - Block B, Bankers Co-operative Housing Society",21000000,3,4,1462.0,210.0,6.497777777777777,14363.885088919289,3,50L â€“ 2.5 Cr
Lahore,"Paragon City, Lahore",31000000,4,5,1575.0,310.0,7.0,19682.539682539682,4,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Overseas Enclave, Bahria Town",29000000,5,6,2250.0,290.0,10.0,12888.888888888889,5,2.5 â€“ 5 Cr
Lahore,"Bankers Town, Lahore",36000000,4,5,2250.0,360.0,10.0,16000.0,4,2.5 â€“ 5 Cr
Lahore,"Cantt, Lahore",49000000,4,4,2250.0,490.0,10.0,21777.777777777777,4,2.5 â€“ 5 Cr
Lahore,"Johar Town Phase 2, Johar Town",27000000,5,5,1125.0,270.0,5.0,24000.0,5,2.5 â€“ 5 Cr
Lahore,"Johar Town, Lahore",22500000,5,5,1125.0,225.0,5.0,20000.0,5,50L â€“ 2.5 Cr
Lahore,"Bankers Avenue Cooperative Housing Society, Lahore",51000000,5,6,4050.0,510.0,18.0,12592.592592592593,5,5 â€“ 10 Cr
Lahore,"Bankers Avenue Cooperative Housing Society, Lahore",24500000,5,4,1800.0,245.0,8.0,13611.111111111111,5,50L â€“ 2.5 Cr
Lahore,"Askari 10 - Sector F, Askari 10",31500000,3,3,2250.0,315.0,10.0,14000.0,3,2.5 â€“ 5 Cr
Lahore,"EME Society - Block E, EME Society",78000000,5,6,5400.0,780.0,24.0,14444.444444444445,5,5 â€“ 10 Cr
Lahore,"Allama Iqbal Town - Badar Block, Allama Iqbal Town",34000000,4,5,2250.0,340.0,10.0,15111.111111111111,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 7, DHA Defence",79000000,5,6,4950.0,790.0,22.0,15959.59595959596,5,5 â€“ 10 Cr
